question_id,paper_id,question,gold_answer,predicted_answer,retrieved_chunk_ids,retrieved_section_names,f1,idk,proxy_faithfulness,experiment,condition
55588ae77496e7753bff18763a21ca07d9f93240,1702.06777,What are the characteristics of the rural dialect?,It uses particular forms of a concept rather than all of them uniformly,"The rural dialect, represented by the purple background, possesses more specific words in their lexicon and prefers particular utterances.","['1702.06777_0_0', '1702.06777_5_1', '1702.06777_6_0']","['Introduction', 'Global distance', 'Conclusions']",0.0,False,0.7222,exp4_chunksize,256
b8137eb0fa0b41f871c899a54154f640f0e9aca1,1606.08495,What domains are considered that have such large vocabularies?,relational entities general text-based attributes descriptive text of images nodes in graph structure of networks queries,I don't know.,"['1606.08495_0_1', '1606.08495_1_2', '1606.08495_13_0']","['Introduction', 'Sponsored search use case', 'Sponsored Search data set']",0.5,True,0.0,exp4_chunksize,256
3aa43a0d543b88d40e4f3500c7471e263515be40,1709.05563,What elements of natural language processing are proposed to analyze qualitative data?,"translated the responses in multiple languages into English using machine translation words without functional meaning (e.g. `I'), rare words that occurred in only one narrative, numbers, and punctuation were all removed remaining words were stemmed to remove plural forms of nouns or conjugations of verbs","I don't know. The text only mentions that natural language processing (NLP) and machine learning (ML) can make feasible the speedy analysis of qualitative data, but it does not specify the elements of NLP proposed to analyze qualitative data.","['1709.05563_16_1', '1709.05563_0_0', '1709.05563_16_0']","['UNDP Fragments of Impact Initiative', 'Introduction', 'UNDP Fragments of Impact Initiative']",0.05,True,0.6857,exp4_chunksize,256
096f5c59f43f49cab1ef37126341c78f272c0e26,2001.05970,How many followers did they analyze?,"51,104",I don't know.,"['2001.05970_9_0', '2001.05970_14_0', '2001.05970_12_0']","['Methodology ::: Connotation Frames and Sentiment Analysis', 'Conclusion', 'Experimental Results ::: Event-Entity Sentiment Analysis']",0.0,True,0.0,exp4_chunksize,256
e8f969ffd637b82d04d3be28c51f0f3ca6b3883e,1706.01678,Which evaluation methods are used?,"Quantitative evaluation methods using ROUGE, Recall, Precision and F1.","ROGUE metric, human evaluation, Recall, Precision, ROGUE-1, ROGUE-2, ROGUE-L, uni-gram overlap, bi-gram overlap, and longest common sequence.","['1706.01678_11_0', '1706.01678_8_0', '1706.01678_11_1']","['Effectiveness of the Generator', 'Procedure to Analyze and Evaluate each step', 'Effectiveness of the Generator']",0.0,False,0.5,exp4_chunksize,256
347e86893e8002024c2d10f618ca98e14689675f,1912.02481,What turn out to be more important high volume or high quality data?,only high-quality data helps,High quality data.,"['1912.02481_13_1', '1912.02481_11_1', '1912.02481_10_1']","['Summary and Discussion', 'Semantic Representations ::: Experiments ::: CWE Training and Evaluation', 'Semantic Representations ::: Experiments ::: FastText Training and Evaluation']",0.0,False,0.3333,exp4_chunksize,256
b24767fe7e6620369063e646fd3048dc645a8348,1709.05413,Which dialogue acts are more suited to the twitter domain?,overlapping dialogue acts,"Assertion, Recommendation Expression, Question, Request, and Miscellaneous.","['1709.05413_1_2', '1709.05413_1_1', '1709.05413_1_3']","['Related Work', 'Related Work', 'Related Work']",0.0,False,0.8571,exp4_chunksize,256
4a61260d6edfb0f93100d92e01cf655812243724,1911.03562,Which 3 NLP areas are cited the most?,"machine translation, statistical machine, sentiment analysis","I don't know. The text only mentions that in 7 of the top 59 most cited areas of research, women received higher average citations than men, but it does not provide the top 3 most cited areas.","['1911.03562_0_0', '1911.03562_13_6', '1911.03562_6_3']","['Introduction', 'Correlation of Age and Gender with Citations ::: Correlation of Academic Age with Citations', 'Areas of Research']",0.052631578947368425,True,0.7097,exp4_chunksize,256
eeaceee98ef1f6c971dac7b0b8930ee8060d71c2,2004.03685,What approaches they propose?,"Across models and tasks: The degree (as grayscale) of faithfulness at the level of specific models and tasks. Across input space: The degree of faithfulness at the level of subspaces of the input space, such as neighborhoods of similar inputs, or singular inputs themselves.","They propose a more practical view of faithfulness, calling for a graded criteria that measures the extent and likelihood of an interpretation to be faithful, in practice.","['2004.03685_10_0', '2004.03685_1_1', '2004.03685_0_1']","['Defining Faithfulness', 'Faithfulness vs. Plausibility', 'Introduction']",0.07142857142857142,False,0.92,exp4_chunksize,256
c69f4df4943a2ca4c10933683a02b179a5e76f64,2003.12738,What approach performs better in experiments global latent or sequence of fine-grained latent variables?,"PPL: SVT
Diversity: GVT
Embeddings Similarity: SVT
Human Evaluation: SVT","The approach with sequence of fine-grained latent variables (SVT) performs better in experiments, as it achieves the highest score in terms of two semantic relevance-oriented metrics ($\textbf {EMB}_\textbf {FT}$ and $\textbf {EMB}_\textbf {BERT}$) in the MojiTalk dataset.","['2003.12738_6_0', '2003.12738_23_0', '2003.12738_4_2']","['Sequential Variational Transformer', 'Results ::: Quantitative Analysis', 'Preliminaries ::: Conditional Variational Autoencoder for Dialogue Generation']",0.0,False,0.7742,exp4_chunksize,256
dee116df92f9f92d9a67ac4d30e32822c22158a6,1803.02839,Is there a formal proof that the RNNs form a representation of the group?,no,I don't know.,"['1803.02839_2_2', '1803.02839_8_3', '1803.02839_8_2']","['Intuition and motivation', 'Interpretation of results', 'Interpretation of results']",0.0,True,0.0,exp4_chunksize,256
e097c2ec6021b1c1195b953bf3e930374b74d8eb,1910.14443,How is octave convolution concept extended to multiple resolutions and octaves?,"The resolution of the low-frequency feature maps is reduced by an octave – height and width dimensions are divided by 2. In this work, we explore spatial reduction by up to 3 octaves – dividing by $2^t$, where $t=1,2,3$ – and for up to 4 groups. We refer to such a layer as a multi-octave convolutional (MultiOctConv) layer,","The octave convolution concept is extended to multi-scale octave convolutional layers by including lower resolution feature maps with a higher compression rate (reduction by more than one octave), and the use of more than two feature map tensor groups to learn representations at multiple scales.","['1910.14443_1_0', '1910.14443_0_0', '1910.14443_1_2']","['Multi-scale octave convolutions', 'Introduction', 'Multi-scale octave convolutions']",0.04347826086956522,False,0.9474,exp4_chunksize,256
2210178facc0e7b3b6341eec665f3c098abef5ac,1707.05853,What type of recurrent layers does the model use?,GRU,GRU (Gated Recurrent Unit) based RNN.,"['1707.05853_1_1', '1707.05853_1_0', '1707.05853_1_2']","['Proposed Model', 'Proposed Model', 'Proposed Model']",0.0,False,0.5,exp4_chunksize,256
78577fd1c09c0766f6e7d625196adcc72ddc8438,1912.00955,What dataset is used for train/test of this method?,Training datasets: TTS System dataset and embedding selection dataset. Evaluation datasets: Common Prosody Errors dataset and LFR dataset.,"I don't know. The context mentions the CPE and LFR datasets for evaluation, but it does not specify the dataset used for training.","['1912.00955_6_1', '1912.00955_12_0', '1912.00955_8_0']","['Proposed Systems ::: Applications to LFR', 'Experimental Protocol ::: Subjective evaluation', 'Experimental Protocol ::: Text-to-Speech System']",0.08333333333333333,True,0.5,exp4_chunksize,256
0ba3ea93eef5660a79ea3c26c6a270eac32dfa4c,1710.07960,Did they use a crowdsourcing platform for annotations?,no,I don't know.,"['1710.07960_1_0', '1710.07960_0_0', '1710.07960_0_1']","['Related work', 'Introduction', 'Introduction']",0.0,True,0.0,exp4_chunksize,256
e6469135e0273481cf11a6c737923630bc7ccfca,1909.05438,What datasets are used in this paper?,WikiSQL SimpleQuestions SequentialQA,I don't know.,"['1909.05438_7_2', '1909.05438_7_1', '1909.05438_4_0']","['Table-Based Semantic Parsing', 'Table-Based Semantic Parsing', 'Quality Controller']",0.5,True,0.0,exp4_chunksize,256
40f87db3a8d1ac49b888ce3358200f7d52903ce7,1702.06700,Does the new system utilize pre-extracted bounding boxes and/or features?,yes,I don't know.,"['1702.06700_7_0', '1702.06700_9_0', '1702.06700_10_0']","['Implementation Details', 'Compared Models', 'Results and Analysis']",0.0,True,0.0,exp4_chunksize,256
3bf429633ecbbfec3d7ffbcfa61fa90440cc918b,1710.06536,How are aspects identified in aspect extraction?,apply an ensemble of deep learning and linguistics t,"Aspects are identified in aspect extraction through two types: explicit aspects, which are words explicitly denoting the opinion target, and implicit aspects, which are inferred concepts representing the opinion target.","['1710.06536_6_3', '1710.06536_8_0', '1710.06536_8_2']","['Introduction', 'Aspect-Based Sentiment Analysis', 'Aspect-Based Sentiment Analysis']",0.0,False,0.7083,exp4_chunksize,256
bdc6664cec2b94b0b3769bc70a60914795f39574,1907.08501,How do they measure performance?,"average INLINEFORM0 , INLINEFORM1 , and INLINEFORM2 values","They use classic information retrieval metrics of precision (P), recall (R), and F1.","['1907.08501_4_1', '1907.08501_5_0', '1907.08501_0_1']","['Evaluation Setup', 'Evaluation Results and Discussion', 'INTRODUCTION']",0.14285714285714288,False,0.9231,exp4_chunksize,256
b236b9827253037b2fd7884d7bfec74619d96293,1908.09137,How much better performance of proposed model compared to answer-selection models?,"significant MAP performance improvement compared to the previous best model, CompClip-LM (0.696 to 0.734 absolute)",I don't know. The context does not provide a direct comparison of the proposed model's performance to the answer-selection models.,"['1908.09137_7_0', '1908.09137_0_0', '1908.09137_5_0']","['Experiments ::: Comparisons with Other Methods', 'Introduction', 'Experiments']",0.09523809523809523,True,0.5556,exp4_chunksize,256
7d841b98bcee29aaa9852ef7ceea1213d703deba,1909.02776,Is new approach tested against state of the art?,no,I don't know.,"['1909.02776_14_0', '1909.02776_1_3', '1909.02776_19_0']","['Incorporating Document Features ::: Evaluation Measures', 'Related works', 'Experiments ::: Training Model']",0.0,True,0.0,exp4_chunksize,256
f5cf8738e8d211095bb89350ed05ee7f9997eb19,1909.08402,By how much do they outperform standard BERT?,up to four percentage points in accuracy,I don't know. The text does not mention a comparison to standard BERT.,"['1909.08402_11_1', '1909.08402_10_1', '1909.08402_10_0']","['Discussion', 'Results', 'Results']",0.14285714285714288,True,0.3846,exp4_chunksize,256
5787ac3e80840fe4cf7bfae7e8983fa6644d6220,1909.00279,What dataset is used for training?,We collected a corpus of poems and a corpus of vernacular literature from online resources,I don't know.,"['1909.00279_1_1', '1909.00279_2_1', '1909.00279_6_0']","['Related Works', 'Model ::: Main Architecture', 'Experiment']",0.5,True,0.0,exp4_chunksize,256
ea6764a362bac95fb99969e9f8c773a61afd8f39,1607.06025,What is the highest accuracy score achieved?,82.0%,"I don't know. The context mentions that the accuracy of the classifier generated on the original human-crafted dataset is not specified, but it mentions that the accuracy of the classifier generated by AttEmbedDecoder is only 2.7% lower than the accuracy of the classifier generated on the original human-crafted dataset.","['1607.06025_11_1', '1607.06025_12_0', '1607.06025_11_2']","['Preliminary evaluation', 'Other models', 'Preliminary evaluation']",0.0,True,0.7037,exp4_chunksize,256
944d5dbe0cfc64bf41ea36c11b1d378c408d40b8,1911.01799,Which of the two speech recognition models works better overall on CN-Celeb?,x-vector,I don't know.,"['1911.01799_1_0', '1911.01799_0_2', '1911.01799_3_0']","['The CN-Celeb dataset ::: Data description', 'Introduction', 'The CN-Celeb dataset ::: Collection pipeline']",0.0,True,0.0,exp4_chunksize,256
6ca938324dc7e1742a840d0a54dc13cc207394a1,1903.09722,What dataset do they use?,German newscrawl distributed by WMT'18  English newscrawl data WMT'18 English-German (en-de) news translation task  WMT'18 English-Turkish (en-tr) news task,The datasets used are the German newscrawl (260M sentences or 6B tokens) and the English newscrawl data (193M sentences or 5B tokens).,"['1903.09722_7_0', '1903.09722_4_0', '1903.09722_7_1']","['Machine translation', 'Datasets', 'Machine translation']",0.0,False,0.6471,exp4_chunksize,256
f52ec4d68de91dba66668f0affc198706949ff90,1906.07668,What other interesting correlations are observed?,Women-Yoga,I don't know.,"['1906.07668_12_0', '1906.07668_6_0', '1906.07668_0_0']","['Visualization', 'Methodology', 'Introduction']",0.0,True,0.0,exp4_chunksize,256
a4d115220438c0ded06a91ad62337061389a6747,1809.01202,What types of social media did they consider?,Facebook status update messages,I don't know.,"['1809.01202_10_1', '1809.01202_5_0', '1809.01202_4_1']","['Complete Pipeline', 'Experiment', 'Model']",0.0,True,0.0,exp4_chunksize,256
771b373d09e6eb50a74fffbf72d059ad44e73ab0,1912.01673,How do they introduce language variation?, we were looking for original and uncommon sentence change suggestions,"They introduce language variation by automatically generating sentence variations, such as synonym substitution, not-negation, and quantifier-negation.","['1912.01673_1_1', '1912.01673_1_2', '1912.01673_0_2']","['Background', 'Background', 'Introduction']",0.0,False,0.5625,exp4_chunksize,256
5260cb56b7d127772425583c5c28958c37cb9bea,1701.04056,How long of dialog history is captured?,two previous turns,The dialog history of 2 turns is captured.,"['1701.04056_11_1', '1701.04056_6_0', '1701.04056_7_0']","['Results and Analysis', 'Interactive Dialog Context LM', 'External State Interactive Dialog Context LM']",0.0,False,0.75,exp4_chunksize,256
005cca3c8ab6c3a166e315547a2259020f318ffb,2003.04642,How does proposed qualitative annotation schema looks like?,The resulting taxonomy of the framework is shown in Figure FIGREF10,"The proposed qualitative annotation schema is adapted around lexical semantics and syntax, focusing on features that introduce variance between the supporting facts and the question.","['2003.04642_10_0', '2003.04642_7_0', '2003.04642_0_1']","['Application of the Framework ::: Annotation Task', 'Framework for MRC Gold Standard Analysis ::: Dimensions of Interest ::: Linguistic Complexity', 'Introduction']",0.0,False,0.9091,exp4_chunksize,256
b34c60eb4738e0439523bcc679fe0fe70ceb8bde,1907.10738,How is OpenBookQA different from other natural language QA?,in the OpenBookQA setup the open book part is much larger the open book part is much larger (than a small paragraph) and is not complete as additional common knowledge may be required,"OpenBookQA is different from other natural language QA in that it focuses on ""deeper understanding of the materials and its application to new situations"" rather than memorization, and it requires both facts from an open book and common knowledge.","['1907.10738_0_1', '1907.10738_0_0', '1907.10738_12_0']","['Introduction', 'Introduction', 'Conclusion']",0.0,False,0.8286,exp4_chunksize,256
56123dd42cf5c77fc9a88fc311ed2e1eb672126e,1911.09886,What is previous work authors reffer to?,SPTree Tagging CopyR HRL GraphR N-gram Attention,I don't know.,"['1911.09886_6_2', '1911.09886_6_3', '1911.09886_7_0']","['Encoder-Decoder Architecture ::: Relation Tuple Extraction', 'Encoder-Decoder Architecture ::: Relation Tuple Extraction', 'Encoder-Decoder Architecture ::: Attention Modeling']",0.5,True,0.0,exp4_chunksize,256
25c4fa78299481788a19d0c25ae07dfd8cb6315c,1901.04085,What is the TREC-CAR dataset?,"in this dataset, the input query is the concatenation of a Wikipedia article title with the title of one of its section. The relevant passages are the paragraphs within that section","The TREC-CAR dataset is a passage ranking dataset consisting of English Wikipedia paragraphs, except abstracts, with queries being the concatenation of a Wikipedia article title and one of its section titles.","['1901.04085_3_0', '1901.04085_3_1', '1901.04085_0_0']","['TREC-CAR', 'TREC-CAR', 'Introduction']",0.0625,False,0.84,exp4_chunksize,256
f8da63df16c4c42093e5778c01a8e7e9b270142e,2002.04095,How is segmentation quality evaluated?,"Segmentation quality is evaluated by calculating the precision, recall, and F-score of the automatic segmentations in comparison to the segmentations made by expert annotators from the ANNODIS subcorpus.","We calculate the precision $P$, the recall $R$, and the $F$-score on the text corpus used in our tests.","['2002.04095_7_0', '2002.04095_8_0', '2002.04095_6_3']","['Experiments ::: Results', 'Conclusions, discussion and perspectives', 'Experiments']",0.1,False,0.875,exp4_chunksize,256
d7b60abb0091246e29d1a9c28467de598e090c20,1706.01875,What was the baseline?,"stochastic gradient descent, naive bayes, decision tree",I don't know.,"['1706.01875_4_1', '1706.01875_0_0', '1706.01875_5_1']","['Classifier evaluation', 'Introduction', 'Measurements']",0.5,True,0.0,exp4_chunksize,256
3b995a7358cefb271b986e8fc6efe807f25d60dc,1908.07218,What types of word representations are they evaluating?,GloVE; SGNS,I don't know.,"['1908.07218_6_0', '1908.07218_2_0', '1908.07218_7_0']","['Accurate Analogy', 'Lexicon', 'Analogy Datasets']",0.0,True,0.0,exp4_chunksize,256
500a8ec1c56502529d6e59ba6424331f797f31f0,1706.06894,How many tweets did they collect?,700 ,1 million random tweets.,"['1706.06894_1_0', '1706.06894_0_3', '1706.06894_1_1']","['A Stance Detection Data Set', 'Introduction', 'A Stance Detection Data Set']",0.0,False,1.0,exp4_chunksize,256
