question_id,paper_id,question,gold_answer,predicted_answer,retrieved_chunk_ids,retrieved_section_names,f1,idk,proxy_faithfulness,experiment,condition,exact_match,retrieved_chunk_ids_parsed,gold_evidence_flat,ecs
ba1da61db264599963e340010b777a1723ffeb4c,1612.04675,What does recurrent deep stacking network do?,Stacks and joins outputs of previous frames with inputs of the current frame,It stacks and concatenates the outputs of previous frames into the input features of the current frame.,"['1612.04675_5_0', '1612.04675_1_0', '1612.04675_3_0']","['Conclusion', 'Recurrent Deep Stacking Network', 'BiPass Stacking Network']",0.0,False,1.0,exp4_chunksize,256,,"['1612.04675_5_0', '1612.04675_1_0', '1612.04675_3_0']","['As indicated in its name, Recurrent Deep Stacking Network stacks and concatenates the outputs of previous frames into the input features of the current frame. If we view acoustic models in ASR systems as functions projecting input features to the probability density outputs, we can see the differences between conventional systems and RDSN clearer. Denote the input features at frame $t$ as $x_t$ , and the output as frame $t$ as $y_t$ . We can see that RDSN tries to model']",1.0
cbbcafffda7107358fa5bf02409a01e17ee56bfd,2004.03061,Was any variation in results observed based on language typology?,It is observed some variability - but not significant. Bert does not seem to gain much more syntax information than with type level information.,"Yes, the results were analyzed on a typologically diverse set of languages (Basque, Czech, English, Finnish, Tamil, and Turkish).","['2004.03061_0_2', '2004.03061_17_0', '2004.03061_22_0']","['Introduction', 'A Critique of Control Tasks ::: What Low-Selectivity Means', 'Conclusion']",0.1,False,0.7368,exp4_chunksize,256,,"['2004.03061_0_2', '2004.03061_17_0', '2004.03061_22_0']","['We know $\\textsc {bert} $ can generate text in many languages, here we assess how much does it actually know about syntax in those languages. And how much more does it know than simple type-level baselines. tab:results-full presents this results, showing how much information $\\textsc {bert} $, fastText and onehot embeddings encode about POS tagging. We see that—in all analysed languages—type level embeddings can already capture most of the uncertainty in POS tagging. We also see that BERT only shares a small amount of extra information with the task, having small (or even negative) gains in all languages.', ""On another note, we apply our formalization to evaluate multilingual $\\textsc {bert} $'s syntax knowledge on a set of six typologically diverse languages. Although it does encode a large amount of information about syntax (more than $81\\%$ in all languages), it only encodes at most $5\\%$ more information than some trivial baseline knowledge (a type-level representation). This indicates that the task of POS labeling (word-level POS tagging) is not an ideal task for contemplating the syntactic understanding of contextual word embeddings."", ""Finally, when put into perspective, multilingual $\\textsc {bert} $'s representations do not seem to encode much more information about syntax than a trivial baseline. $\\textsc {bert} $ only improves upon fastText in three of the six analysed languages—and even in those, it encodes at most (in English) $5\\%$ additional information.""]",0.6667
f9bf6bef946012dd42835bf0c547c0de9c1d229f,1912.01772,How is non-standard pronunciation identified?,Original transcription was labeled with additional labels in [] brackets with nonstandard pronunciation.,I don't know.,"['1912.01772_3_0', '1912.01772_2_0', '1912.01772_5_0']","['The Resource ::: Orthography', 'The Resource', 'The Resource ::: Cleaning']",0.5,True,0.0,exp4_chunksize,256,,"['1912.01772_3_0', '1912.01772_2_0', '1912.01772_5_0']","['In addition, the transcription includes annotations for noises and disfluencies including aborted words, mispronunciations, poor intelligibility, repeated and corrected words, false starts, hesitations, undefined sound or pronunciations, non-verbal articulations, and pauses. Foreign words, in this case Spanish words, are also labelled as such.', 'FLOAT SELECTED: Table 2: Example of an utterance along with the different annotations. We additionally highlight the code-switching annotations ([SPA] indicates Spanish words) as well as pre-normalized transcriptions that indicating non-standard pronunciations ([!1pu’] indicates that the previous 1 word was pronounced as ‘pu’’ instead of ‘pues’).']",0.0
f641f561ad2ea2794a52e4e4bdd62e1f353ab797,2001.09215,What language is explored in this paper?,English language,I don't know.,"['2001.09215_1_0', '2001.09215_1_2', '2001.09215_0_0']","['Proposed Methodology', 'Proposed Methodology', 'Introduction']",0.5,True,0.0,exp4_chunksize,256,,"['2001.09215_1_0', '2001.09215_1_2', '2001.09215_0_0']","[""Figure FIGREF4 pictorially represents our methodology. Our approach required an initial set of informative tweets for which we employed two human annotators annotating a random sub-sample of the original dataset. From the 1500 samples, 326 were marked as informative and 1174 as non informative ($\\kappa =0.81$), discriminated on this criteria: Is the tweet addressing any complaint or raising grievances about modes of transport or services/ events associated with transportation such as traffic; public or private transport?. An example tweet marked as informative: No, metro fares will be reduced ???, but proper fare structure needs to presented right, it's bad !!!.""]",1.0
b8ffb81e74c1c1ad552051aca8741b0141ae6e97,1710.09753,What is the task of slot filling?,"The task aims at extracting information about persons, organizations or geo-political entities from a large collection of news, web and discussion forum documents.","The task of slot filling is to extract a specific piece of information (slot) from a document collection, given an exemplary occurrence of the entity and the slot to be filled.","['1710.09753_2_1', '1710.09753_1_0', '1710.09753_3_0']","['Slot filling task', 'Related work', 'Coreference resolution for slot filling']",0.0625,False,0.75,exp4_chunksize,256,,"['1710.09753_2_1', '1710.09753_1_0', '1710.09753_3_0']","['Slot Filling is an information extraction task which has become popular in the last years BIBREF3 . It is a shared task organized by the Text Analysis Conference (TAC). The task aims at extracting information about persons, organizations or geo-political entities from a large collection of news, web and discussion forum documents. An example is “Steve Jobs” for the slot “X founded Apple”. Thinking of a text passage like “Steve Jobs was an American businessman. In 1976, he co-founded Apple”, it is clear that coreference resolution can play an important role for finding the correct slot filler value.']",0.0
d7644c674887ca9708eb12107acd964ae53b216d,2002.12612,What are the global network features which quantify different aspects of the sharing process?,Number of Strongly Connected Components (SCC) Size of the Largest Strongly Connected Component (LSCC) Number of Weakly Connected Components (WCC) Size of the Largest Weakly Connected Component (LWCC) Diameter of the Largest Weakly Connected Component (DWCC) Average Clustering Coefficient (CC) Main K-core Number (KC) Density (d),"LWCC (size of the largest cascade in the layer), SCC (size of the network), DWCC (depth of the largest cascade in the layer), CC (level of connectedness of neighboring users), and KC (set of most influential users).","['2002.12612_6_0', '2002.12612_4_1', '2002.12612_10_0']","['Methodology ::: Interpretation of network features and layers', 'Methodology ::: Building diffusion networks', 'Experiments ::: Feature importance analysis']",0.0,False,0.6522,exp4_chunksize,256,,"['2002.12612_6_0', '2002.12612_4_1', '2002.12612_10_0']","['Number of Weakly Connected Components (WCC): a Weakly Connected Component of a directed graph is a maximal (sub)graph where for each pair of vertices $(u, v)$ there is a path $u \\leftrightarrow v$ ignoring edge directions.', 'Density (d): the density for directed graphs is $d=\\frac{|E|}{|V||V-1|}$, where $|E|$ is the number of edges and $|N|$ is the number of vertices in the graph; the density equals 0 for a graph without edges and 1 for a complete graph.', 'Size of the Largest Weakly Connected Component (LWCC): the number of nodes in the largest weakly connected component of a given graph.', 'We used a set of global network indicators which allow us to encode each network layer by a tuple of features. Then we simply concatenated tuples as to represent each multi-layer network with a single feature vector. We used the following global network properties:', 'Diameter of the Largest Weakly Connected Component (DWCC): the largest distance (length of the shortest path) between two nodes in the (undirected version of) largest weakly connected component of a graph.', 'Main K-core Number (KC): a K-core BIBREF13 of a graph is a maximal sub-graph that contains nodes of internal degree $k$ or more; the main K-core number is the highest value of $k$ (in directed graphs the total degree is considered).', 'Size of the Largest Strongly Connected Component (LSCC): the number of nodes in the largest strongly connected component of a given graph.', 'Number of Strongly Connected Components (SCC): a Strongly Connected Component of a directed graph is a maximal (sub)graph where for each pair of vertices $u,v$ there is a path in each direction ($u\\rightarrow v$, $v\\rightarrow u$).', ""Structural virality of the largest weakly connected component (SV): this measure is defined in BIBREF14 as the average distance between all pairs of nodes in a cascade tree or, equivalently, as the average depth of nodes, averaged over all nodes in turn acting as a root; for $|V| > 1$ vertices, $SV=\\frac{1}{|V||V-1|}\\sum _i\\sum _j d_{ij}$ where $d_{ij}$ denotes the length of the shortest path between nodes $i$ and $j$. This is equivalent to compute the Wiener's index BIBREF29 of the graph and multiply it by a factor $\\frac{1}{|V||V-1|}$. In our case we computed it for the undirected equivalent graph of the largest weakly connected component, setting it to 0 whenever $V=1$."", 'Average Clustering Coefficient (CC): the average of the local clustering coefficients of all nodes in a graph; the local clustering coefficient of a node quantifies how close its neighbours are to being a complete graph (or a clique). It is computed according to BIBREF28.']",0.3
9d578ddccc27dd849244d632dd0f6bf27348ad81,1909.00694,What are the results?,"Using all data to train: AL -- BiGRU achieved 0.843 accuracy, AL -- BERT achieved 0.863 accuracy, AL+CA+CO -- BiGRU achieved 0.866 accuracy, AL+CA+CO -- BERT achieved 0.835, accuracy, ACP -- BiGRU achieved 0.919 accuracy, ACP -- BERT achived 0.933, accuracy, ACP+AL+CA+CO -- BiGRU achieved 0.917 accuracy, ACP+AL+CA+CO -- BERT achieved 0.913 accuracy. 
Using a subset to train: BERT achieved 0.876 accuracy using ACP (6K), BERT achieved 0.886 accuracy using ACP (6K) + AL, BiGRU achieved 0.830 accuracy using ACP (6K), BiGRU achieved 0.879 accuracy using ACP (6K) + AL + CA + CO.","I don't know. The results are mentioned in the context, but the specific results are shown in tables (TABREF19, TABREF24) which are not provided.","['1909.00694_12_0', '1909.00694_8_0', '1909.00694_14_1']","['Experiments ::: Dataset ::: ACP (ACP Corpus)', 'Proposed Method ::: Loss Functions', 'Experiments ::: Results and Discussion']",0.0799999999999999,True,0.2778,exp4_chunksize,256,,"['1909.00694_12_0', '1909.00694_8_0', '1909.00694_14_1']","['FLOAT SELECTED: Table 4: Results for small labeled training data. Given the performance with the full dataset, we show BERT trained only with the AL data.', 'As for ${\\rm Encoder}$, we compared two types of neural networks: BiGRU and BERT. GRU BIBREF16 is a recurrent neural network sequence encoder. BiGRU reads an input sequence forward and backward and the output is the concatenation of the final forward and backward hidden states.', 'FLOAT SELECTED: Table 3: Performance of various models on the ACP test set.', 'We trained the model with the following four combinations of the datasets: AL, AL+CA+CO (two proposed models), ACP (supervised), and ACP+AL+CA+CO (semi-supervised). The corresponding objective functions were: $\\mathcal {L}_{\\rm AL}$, $\\mathcal {L}_{\\rm AL} + \\mathcal {L}_{\\rm CA} + \\mathcal {L}_{\\rm CO}$, $\\mathcal {L}_{\\rm ACP}$, and $\\mathcal {L}_{\\rm ACP} + \\mathcal {L}_{\\rm AL} + \\mathcal {L}_{\\rm CA} + \\mathcal {L}_{\\rm CO}$.']",0.0
66d743b735ba75589486e6af073e955b6bb9d2a4,1909.06762,What were the baseline systems?,Attn seq2seq Ptr-UNK KV Net Mem2Seq DSR,I don't know.,"['1909.06762_2_0', '1909.06762_13_0', '1909.06762_21_0']","['Definition ::: Dialogue History', 'Our Framework ::: Entity-Consistency Augmented Decoder ::: KB Column Selection', 'Results ::: The proportion of responses that can be supported by a single KB row']",0.0,True,0.0,exp4_chunksize,256,,"['1909.06762_2_0', '1909.06762_13_0', '1909.06762_21_0']","['We compare our model with several baselines including:', 'KV Net BIBREF6: The model adopted and argumented decoder which decodes over the concatenation of vocabulary and KB entities, which allows the model to generate entities.', 'DSR BIBREF9: DSR leveraged dialogue state representation to retrieve the KB implicitly and applied copying mechanism to retrieve entities from knowledge base while decoding.', 'Mem2Seq BIBREF7: Mem2Seq is the model that takes dialogue history and KB entities as input and uses a pointer gate to control either generating a vocabulary word or selecting an input as the output.', 'Attn seq2seq BIBREF22: A model with simple attention over the input context at each time step during decoding.', 'Ptr-UNK BIBREF23: Ptr-UNK is the model which augments a sequence-to-sequence architecture with attention-based copy mechanism over the encoder context.']",0.0
ebae0cd1fe0e7ba877d4b3055190e8b1dfcaeb53,1604.07236,What are the eight features mentioned?,User location (uloc) User language (ulang) Timezone (tz) Tweet language (tlang) Offset (offset) User name (name) User description (description) Tweet content (content),I don't know,"['1604.07236_9_1', '1604.07236_10_1', '1604.07236_9_0']","['Feature Combinations', 'Breakdown of Countries', 'Feature Combinations']",0.5,True,0.0,exp4_chunksize,256,,"['1604.07236_9_1', '1604.07236_10_1', '1604.07236_9_0']","['Offset (offset): This is the offset, with respect to UTC/GMT, that the user has specified in their settings. It is similar to the time zone, albeit more limited as it is shared with a number of countries.', 'We created eight different classifiers, each of which used one of the following eight features available from a tweet as retrieved from a stream of the Twitter API:', ""User language (ulang): This is the user's self-declared user interface language. The interface language might be indicative of the user's country of origin; however, they might also have set up the interface in a different language, such as English, because it was the default language when they signed up or because the language of their choice is not available."", 'User description (description): This is a free text where a user can describe themselves, their interests, etc.', ""Tweet language (tlang): The language in which a tweet is believed to be written is automatically detected by Twitter. It has been found to be accurate for major languages, but it leaves much to be desired for less widely used languages. Twitter's language identifier has also been found to struggle with multilingual tweets, where parts of a tweet are written in different languages BIBREF50 ."", 'Tweet content (content): The text that forms the actual content of the tweet. The use of content has a number of caveats. One is that content might change over time, and therefore new tweets might discuss new topics that the classifiers have not seen before. Another caveat is that the content of the tweet might not be location-specific; in a previous study, Rakesh et al. BIBREF51 found that the content of only 289 out of 10,000 tweets was location-specific.', ""Timezone (tz): This indicates the time zone that the user has specified in their settings, e.g., “Pacific Time (US & Canada)”. When the user has specified an accurate time zone in their settings, it can be indicative of their country of origin; however, some users may have the default time zone in their settings, or they may use an equivalent time zone belonging to a different location (e.g., “Europe/London” for a user in Portugal). Also, Twitter's list of time zones does not include all countries."", ""User location (uloc): This is the location the user specifies in their profile. While this feature might seem a priori useful, it is somewhat limited as this is a free text field that users can leave empty, input a location name that is ambiguous or has typos, or a string that does not match with any specific locations (e.g., “at home”). Looking at users' self-reported locations, Hecht et al. BIBREF49 found that 66% report information that can be translated, accurately or inaccurately, to a geographic location, with the other 34% being either empty or not geolocalisable."", 'User name (name): This is the name that the user specifies in their settings, which can be their real name, or an alternative name they choose to use. The name of a user can reveal, in some cases, their country of origin.']",0.2222
cfb5ab893ed77f9df7eeb4940b6bacdef5acccea,1909.0536,Is this the first paper to propose a joint model for event and temporal relation extraction?,yes,"To the best of our knowledge, yes.","['1909.05360_1_1', '1909.05360_1_0', '1909.05360_0_0']","['Related Work', 'Related Work', 'Introduction']",0.0,False,0.8571,exp4_chunksize,256,,"['1909.05360_1_1', '1909.05360_1_0', '1909.05360_0_0']","['As far as we know, all existing systems treat this task as a pipeline of two separate subtasks, i.e., event extraction and temporal relation classification, and they also assume that gold events are given when training the relation classifier BIBREF0, BIBREF1, BIBREF2, BIBREF3, BIBREF4, BIBREF5. Specifically, they built end-to-end systems that extract events first and then predict temporal relations between them (Fig. FIGREF1). In these pipeline models, event extraction errors will propagate to the relation classification step and cannot be corrected afterwards. Our first contribution is the proposal of a joint model that extracts both events and temporal relations simultaneously (see Fig. FIGREF1). The motivation is that if we train the relation classifier with NONE relations between non-events, then it will potentially have the capability of correcting event extraction mistakes. For instance in Fig. FIGREF1, if the relation classifier predicts NONE for (Hutu, war) with a high confidence, then this is a strong signal that can be used by the event classifier to infer that at least one of them is not an event.']",0.0
8acab64ba72831633e8cc174d5469afecccf3ae9,1702.03856,what is the domain of the corpus?,unanswerable,Speech translation.,"['1702.03856_2_0', '1702.03856_0_1', '1702.03856_1_0']","['Dataset', 'Introduction', 'From unsupervised term discovery to direct speech-to-text translation']",0.0,False,1.0,exp4_chunksize,256,,"['1702.03856_2_0', '1702.03856_0_1', '1702.03856_1_0']","['Our simple system (§ SECREF2 ) builds on unsupervised speech processing BIBREF5 , BIBREF6 , BIBREF7 , and in particular on unsupervised term discovery (UTD), which creates hard clusters of repeated word-like units in raw speech BIBREF8 , BIBREF9 . The clusters do not account for all of the audio, but we can use them to simulate a partial, noisy transcription, or pseudotext, which we pair with translations to learn a bag-of-words translation model. We test our system on the CALLHOME Spanish-English speech translation corpus BIBREF10 , a noisy multi-speaker corpus of telephone calls in a variety of Spanish dialects (§ SECREF3 ). Using the Spanish speech as the source and English text translations as the target, we identify several challenges in the use of UTD, including low coverage of audio and difficulty in cross-speaker clustering (§ SECREF4 ). Despite these difficulties, we demonstrate that the system learns to translate some content words (§ SECREF5 ).']",0.0
