question_id,paper_id,question,gold_answer,predicted_answer,retrieved_chunk_ids,retrieved_section_names,f1,exact_match,idk,experiment,condition
9d578ddccc27dd849244d632dd0f6bf27348ad81,1909.00694,What are the results?,"Using all data to train: AL -- BiGRU achieved 0.843 accuracy, AL -- BERT achieved 0.863 accuracy, AL+CA+CO -- BiGRU achieved 0.866 accuracy, AL+CA+CO -- BERT achieved 0.835, accuracy, ACP -- BiGRU achieved 0.919 accuracy, ACP -- BERT achived 0.933, accuracy, ACP+AL+CA+CO -- BiGRU achieved 0.917 accuracy, ACP+AL+CA+CO -- BERT achieved 0.913 accuracy. 
Using a subset to train: BERT achieved 0.876 accuracy using ACP (6K), BERT achieved 0.886 accuracy using ACP (6K) + AL, BiGRU achieved 0.830 accuracy using ACP (6K), BiGRU achieved 0.879 accuracy using ACP (6K) + AL + CA + CO.","The results are shown in multiple tables (TABREF23, TABREF24, and TABREF16) but the main results are:

- The BiGRU encoder trained with the AL+CA+CO dataset performed the best.
- BERT was competitive but its performance decreased when using CA and CO in addition to AL.
- Supervised models outperformed semi-supervised models.
- The training set of 0.6 million events is sufficiently large for training the models.
- The results also show that the CA pairs were noisier than the CO pairs.","['1909.00694_14_0', '1909.00694_12_0', '1909.00694_11_0']","['Experiments ::: Results and Discussion', 'Experiments ::: Dataset ::: ACP (ACP Corpus)', 'Experiments ::: Dataset ::: AL, CA, and CO']",0.0,0.0,False,exp1_boundary,clean
66d743b735ba75589486e6af073e955b6bb9d2a4,1909.06762,What were the baseline systems?,Attn seq2seq Ptr-UNK KV Net Mem2Seq DSR,I don't know.,"['1909.06762_18_0', '1909.06762_0_0', '1909.06762_12_0']","['Training the KB-Retriever ::: Experimental Settings', 'Introduction', 'Our Framework ::: Entity-Consistency Augmented Decoder ::: KB Row Selection ::: Memory Network-Based Retriever:']",0.0,0.0,True,exp1_boundary,clean
ebae0cd1fe0e7ba877d4b3055190e8b1dfcaeb53,1604.07236,What are the eight features mentioned?,User location (uloc) User language (ulang) Timezone (tz) Tweet language (tlang) Offset (offset) User name (name) User description (description) Tweet content (content),"User location, tweet content, user name, user description, tweet language, offset, user language, and time zone.","['1604.07236_9_0', '1604.07236_10_0', '1604.07236_5_1']","['Feature Combinations', 'Breakdown of Countries', 'Experiment Settings']",0.0,0.0,False,exp1_boundary,boundary_cut
cfb5ab893ed77f9df7eeb4940b6bacdef5acccea,1909.05360,Is this the first paper to propose a joint model for event and temporal relation extraction?,yes,Yes.,"['1909.05360_1_0', '1909.05360_0_0', '1909.05360_4_0']","['Related Work', 'Introduction', 'Joint Event-Relation Extraction Model ::: Multi-Tasking Neural Scoring Function']",0.0,0.0,False,exp1_boundary,clean
8acab64ba72831633e8cc174d5469afecccf3ae9,1702.03856,what is the domain of the corpus?,unanswerable,"Speech translation, specifically Spanish-English.","['1702.03856_2_0', '1702.03856_0_0', '1702.03856_1_0']","['Dataset', 'Introduction', 'From unsupervised term discovery to direct speech-to-text translation']",0.0,0.0,False,exp1_boundary,boundary_cut
18ad60f97f53af64cb9db2123c0d8846c57bfa4a,1911.05960,What supports the claim that injected CNN into recurent units will enhance ability of the model to catch local context and reduce ambiguities?,"word embeddings to generate a new feature, i.e., summarizing a local context","The experimental results shown in Table TABREF35 demonstrate that all variants of our CRU model could give substantial improvements over the traditional GRU model, with a maximum gain of 2.7%, 1.0%, and 1.9% in three datasets, respectively.","['1911.05960_5_0', '1911.05960_14_0', '1911.05960_1_0']","['Our approach ::: Contextual Recurrent Unit ::: Shallow Fusion', 'Experiments: Sentiment Classification ::: Results', 'Related Works']",0.052631578947368425,0.0,False,exp1_boundary,clean
19c9cfbc4f29104200393e848b7b9be41913a7ac,1908.06606,How many questions are in the dataset?,"2,714",I don't know.,"['1908.06606_16_0', '1908.06606_0_0', '1908.06606_3_0']","['Experimental Studies ::: Data Integration Analysis', 'Introduction', 'Question Answering based Clinical Text Structuring']",0.0,0.0,True,exp1_boundary,clean
30803eefd7cdeb721f47c9ca72a5b1d750b8e03b,1611.00514,How well does their system perform on the development set of SRE?,"EER 16.04, Cmindet 0.6012, Cdet 0.6107",The system results in a relative improvement of almost 10% in terms of both INLINEFORM0 and INLINEFORM1 when fusing MFCC and PLP scores.,"['1611.00514_15_0', '1611.00514_16_0', '1611.00514_0_0']","['Results and Discussion', 'Time Analysis', 'Introduction']",0.0,0.0,False,exp1_boundary,clean
0a521541b9e2b5c6d64fb08eb318778eba8ac9f7,1810.09774,Which datasets were used?,"SNLI, MultiNLI and SICK","The datasets used were SNLI, MultiNLI, and SICK.","['1810.09774_3_0', '1810.09774_1_0', '1810.09774_5_0']","['Data', 'Related Work', 'Experimental Results']",0.0,0.0,False,exp1_boundary,boundary_cut
32e8eda2183bcafbd79b22f757f8f55895a0b7b2,1908.04531,How many categories of offensive language were there?,3,"There were 7 categories of offensive language as per BIBREF8: 

1. Threat/Blackmail
2. Insult
3. Curse/Exclusion
4. Defamation
5. Sexual Talk
6. Defense
7. Encouragement to the harasser","['1908.04531_1_0', '1908.04531_1_1', '1908.04531_1_2']","['Background', 'Background', 'Background']",0.0689655172413793,0.0,False,exp1_boundary,boundary_cut
5cb3d69607f60e1c5be2120462726a477ead9570,1909.00153,"Does adversarial learning have stronger performance gains for text classification, or for NER?",classification,I don't know. The text does not provide a direct comparison of performance gains between text classification and NER using adversarial learning.,"['1909.00153_0_0', '1909.00153_4_0', '1909.00153_4_1']","['Introduction', 'Model Training', 'Model Training']",0.08695652173913045,0.0,True,exp1_boundary,clean
1f07e837574519f2b696f3d6fa3230af0b931e5d,1608.01084,Did they only experiment with one language pair?,yes,I don't know.,"['1608.01084_9_0', '1608.01084_7_0', '1608.01084_3_1']","['Data Set and Toolkits', 'Sparse Reordering Orientation Features', 'Dependency Swap Features']",0.0,0.0,True,exp1_boundary,clean
55588ae77496e7753bff18763a21ca07d9f93240,1702.06777,What are the characteristics of the rural dialect?,It uses particular forms of a concept rather than all of them uniformly,"The rural dialect, represented by the purple cluster, possesses more specific words in their lexicon and prefers particular utterances.","['1702.06777_0_0', '1702.06777_5_0', '1702.06777_6_0']","['Introduction', 'Global distance', 'Conclusions']",0.0,0.0,False,exp1_boundary,boundary_cut
b8137eb0fa0b41f871c899a54154f640f0e9aca1,1606.08495,What domains are considered that have such large vocabularies?,relational entities general text-based attributes descriptive text of images nodes in graph structure of networks queries,"The domains considered to have such large vocabularies are relational entities, general text-based attributes, descriptive text of images, nodes in graph structure of networks, and queries.","['1606.08495_0_0', '1606.08495_12_0', '1606.08495_9_0']","['Introduction', 'Benchmark data set', 'Main steps']",0.0,0.0,False,exp1_boundary,clean
3aa43a0d543b88d40e4f3500c7471e263515be40,1709.05563,What elements of natural language processing are proposed to analyze qualitative data?,"translated the responses in multiple languages into English using machine translation words without functional meaning (e.g. `I'), rare words that occurred in only one narrative, numbers, and punctuation were all removed remaining words were stemmed to remove plural forms of nouns or conjugations of verbs",Structural topic modeling is proposed as an NLP approach to analyze qualitative data.,"['1709.05563_16_0', '1709.05563_1_0', '1709.05563_16_1']","['UNDP Fragments of Impact Initiative', 'Supervised and Unsupervised Learning', 'UNDP Fragments of Impact Initiative']",0.0,0.0,False,exp1_boundary,clean
096f5c59f43f49cab1ef37126341c78f272c0e26,2001.05970,How many followers did they analyze?,"51,104",I don't know.,"['2001.05970_9_0', '2001.05970_1_0', '2001.05970_8_0']","['Methodology ::: Connotation Frames and Sentiment Analysis', 'Related Work', 'Methodology ::: Semantic Parsing with TRIPS']",0.0,0.0,True,exp1_boundary,clean
e8f969ffd637b82d04d3be28c51f0f3ca6b3883e,1706.01678,Which evaluation methods are used?,"Quantitative evaluation methods using ROUGE, Recall, Precision and F1.","ROGUE metric, ROGUE-1, ROGUE-2, ROGUE-L, Recall, Precision, and human evaluation (assigning scores from 1 to 10 for readability and information contained).","['1706.01678_11_0', '1706.01678_8_0', '1706.01678_5_0']","['Effectiveness of the Generator', 'Procedure to Analyze and Evaluate each step', 'Step 2: Story AMR to Summary AMR']",0.0909090909090909,0.0,False,exp1_boundary,clean
347e86893e8002024c2d10f618ca98e14689675f,1912.02481,What turn out to be more important high volume or high quality data?,only high-quality data helps,"High quality data turns out to be more important, especially in low-resourced languages. The paper shows that even with a large amount of noisy data, the performance of the embeddings is poor, whereas with a smaller amount of high-quality data, the performance is significantly better.","['1912.02481_13_0', '1912.02481_10_0', '1912.02481_11_0']","['Summary and Discussion', 'Semantic Representations ::: Experiments ::: FastText Training and Evaluation', 'Semantic Representations ::: Experiments ::: CWE Training and Evaluation']",0.04347826086956522,0.0,False,exp1_boundary,boundary_cut
b24767fe7e6620369063e646fd3048dc645a8348,1709.05413,Which dialogue acts are more suited to the twitter domain?,overlapping dialogue acts,I don't know.,"['1709.05413_1_1', '1709.05413_1_0', '1709.05413_0_1']","['Related Work', 'Related Work', 'Introduction']",0.5,0.0,True,exp1_boundary,clean
4a61260d6edfb0f93100d92e01cf655812243724,1911.03562,Which 3 NLP areas are cited the most?,"machine translation, statistical machine, sentiment analysis",I don't know. The provided context does not mention the NLP areas that are cited the most.,"['1911.03562_0_0', '1911.03562_6_1', '1911.03562_3_1']","['Introduction', 'Areas of Research', 'Demographics (focus of analysis: gender, age, and geographic diversity) ::: Gender']",0.1111111111111111,0.0,True,exp1_boundary,clean
eeaceee98ef1f6c971dac7b0b8930ee8060d71c2,2004.03685,What approaches they propose?,"Across models and tasks: The degree (as grayscale) of faithfulness at the level of specific models and tasks. Across input space: The degree of faithfulness at the level of subspaces of the input space, such as neighborhoods of similar inputs, or singular inputs themselves.","They propose a more practical view of faithfulness, calling for a graded criteria that measures the extent and likelihood of an interpretation to be faithful, in practice.","['2004.03685_1_0', '2004.03685_0_0', '2004.03685_3_0']","['Faithfulness vs. Plausibility', 'Introduction', 'Evaluation via Utility']",0.07142857142857142,0.0,False,exp1_boundary,clean
c69f4df4943a2ca4c10933683a02b179a5e76f64,2003.12738,What approach performs better in experiments global latent or sequence of fine-grained latent variables?,"PPL: SVT
Diversity: GVT
Embeddings Similarity: SVT
Human Evaluation: SVT","The approach with sequence of fine-grained latent variables (SVT) performs better in experiments, especially in terms of semantic relevance-oriented metrics such as $\textbf {EMB}_\textbf {FT}$ and $\textbf {EMB}_\textbf {BERT}$ in MojiTalk dataset.","['2003.12738_5_0', '2003.12738_0_0', '2003.12738_23_0']","['Preliminaries ::: CVAE with Transformer', 'Introduction', 'Results ::: Quantitative Analysis']",0.0,0.0,False,exp1_boundary,clean
dee116df92f9f92d9a67ac4d30e32822c22158a6,1803.02839,Is there a formal proof that the RNNs form a representation of the group?,no,I don't know.,"['1803.02839_2_1', '1803.02839_8_1', '1803.02839_1_0']","['Intuition and motivation', 'Interpretation of results', 'Summary of results']",0.0,0.0,True,exp1_boundary,boundary_cut
e097c2ec6021b1c1195b953bf3e930374b74d8eb,1910.14443,How is octave convolution concept extended to multiple resolutions and octaves?,"The resolution of the low-frequency feature maps is reduced by an octave – height and width dimensions are divided by 2. In this work, we explore spatial reduction by up to 3 octaves – dividing by $2^t$, where $t=1,2,3$ – and for up to 4 groups. We refer to such a layer as a multi-octave convolutional (MultiOctConv) layer,",The octave convolution concept is extended to multi-scale octave convolutional layers by including lower resolution feature maps with a higher compression rate (reduction by more than one octave) and using more than two feature map tensor groups to learn representations at multiple scales.,"['1910.14443_1_0', '1910.14443_1_1', '1910.14443_0_0']","['Multi-scale octave convolutions', 'Multi-scale octave convolutions', 'Introduction']",0.04545454545454545,0.0,False,exp1_boundary,clean
2210178facc0e7b3b6341eec665f3c098abef5ac,1707.05853,What type of recurrent layers does the model use?,GRU,GRUs (Gated Recurrent Units),"['1707.05853_1_0', '1707.05853_2_0', '1707.05853_0_0']","['Proposed Model', 'Data', 'Introduction']",0.0,0.0,False,exp1_boundary,clean
78577fd1c09c0766f6e7d625196adcc72ddc8438,1912.00955,What dataset is used for train/test of this method?,Training datasets: TTS System dataset and embedding selection dataset. Evaluation datasets: Common Prosody Errors dataset and LFR dataset.,I don't know. The dataset is not explicitly mentioned in the provided context.,"['1912.00955_6_0', '1912.00955_13_0', '1912.00955_6_1']","['Proposed Systems ::: Applications to LFR', 'Results', 'Proposed Systems ::: Applications to LFR']",0.14285714285714288,0.0,True,exp1_boundary,clean
0ba3ea93eef5660a79ea3c26c6a270eac32dfa4c,1710.07960,Did they use a crowdsourcing platform for annotations?,no,I don't know.,"['1710.07960_1_0', '1710.07960_0_0', '1710.07960_8_0']","['Related work', 'Introduction', 'Results']",0.0,0.0,True,exp1_boundary,boundary_cut
e6469135e0273481cf11a6c737923630bc7ccfca,1909.05438,What datasets are used in this paper?,WikiSQL SimpleQuestions SequentialQA,WikiSQL.,"['1909.05438_7_1', '1909.05438_5_0', '1909.05438_7_0']","['Table-Based Semantic Parsing', 'Meta-Learning', 'Table-Based Semantic Parsing']",0.0,0.0,False,exp1_boundary,clean
40f87db3a8d1ac49b888ce3358200f7d52903ce7,1702.06700,Does the new system utilize pre-extracted bounding boxes and/or features?,yes,I don't know.,"['1702.06700_10_0', '1702.06700_4_0', '1702.06700_4_2']","['Results and Analysis', 'Model', 'Model']",0.0,0.0,True,exp1_boundary,clean
3bf429633ecbbfec3d7ffbcfa61fa90440cc918b,1710.06536,How are aspects identified in aspect extraction?,apply an ensemble of deep learning and linguistics t,"Aspects are identified in aspect extraction through various methods, including:

1. Conditional Random Fields (CRFs)
2. Linguistic patterns
3. Aspect term extraction as sequence labeling
4. Topic modeling (such as pLSA and LDA)
5. Maximum entropy method
6. Linguistic analysis of syntactic structure of sentences
7. Pre-trained word embeddings (such as Amazon embeddings)
8. Rule-based approaches (such as LPs)","['1710.06536_6_1', '1710.06536_8_0', '1710.06536_14_5']","['Introduction', 'Aspect-Based Sentiment Analysis', 'Aspect Extraction']",0.0,0.0,False,exp1_boundary,boundary_cut
bdc6664cec2b94b0b3769bc70a60914795f39574,1907.08501,How do they measure performance?,"average INLINEFORM0 , INLINEFORM1 , and INLINEFORM2 values","They use the classic information retrieval metrics of precision (P), recall (R), and F1.","['1907.08501_4_0', '1907.08501_5_0', '1907.08501_0_0']","['Evaluation Setup', 'Evaluation Results and Discussion', 'INTRODUCTION']",0.13333333333333333,0.0,False,exp1_boundary,clean
b236b9827253037b2fd7884d7bfec74619d96293,1908.09137,How much better performance of proposed model compared to answer-selection models?,"significant MAP performance improvement compared to the previous best model, CompClip-LM (0.696 to 0.734 absolute)",0.038 absolute (0.696 to 0.734).,"['1908.09137_7_0', '1908.09137_0_0', '1908.09137_2_0']","['Experiments ::: Comparisons with Other Methods', 'Introduction', 'Task and Dataset']",0.0,0.0,False,exp1_boundary,clean
7d841b98bcee29aaa9852ef7ceea1213d703deba,1909.02776,Is new approach tested against state of the art?,no,I don't know.,"['1909.02776_1_1', '1909.02776_14_0', '1909.02776_5_0']","['Related works', 'Incorporating Document Features ::: Evaluation Measures', 'Incorporating Document Features ::: Learning Phase ::: Feature Extraction ::: Document-unaware Features']",0.0,0.0,True,exp1_boundary,clean
f5cf8738e8d211095bb89350ed05ee7f9997eb19,1909.08402,By how much do they outperform standard BERT?,up to four percentage points in accuracy,"They outperform the classical TF-IDF approach, but the exact difference in performance between BERT and standard BERT is not specified in the given context.","['1909.08402_10_0', '1909.08402_7_0', '1909.08402_11_0']","['Results', 'Experiments ::: Model Architecture', 'Discussion']",0.0,0.0,False,exp1_boundary,clean
5787ac3e80840fe4cf7bfae7e8983fa6644d6220,1909.00279,What dataset is used for training?,We collected a corpus of poems and a corpus of vernacular literature from online resources,A vernacular texts corpus $\textbf {\emph {S}}$ and a poem corpus $\textbf {\emph {T}}$.,"['1909.00279_1_0', '1909.00279_2_0', '1909.00279_13_0']","['Related Works', 'Model ::: Main Architecture', 'Discussion']",0.13333333333333333,0.0,False,exp1_boundary,clean
ea6764a362bac95fb99969e9f8c773a61afd8f39,1607.06025,What is the highest accuracy score achieved?,82.0%,82.0%,"['1607.06025_11_0', '1607.06025_9_0', '1607.06025_12_0']","['Preliminary evaluation', 'Experiment details', 'Other models']",0.0,0.0,False,exp1_boundary,clean
944d5dbe0cfc64bf41ea36c11b1d378c408d40b8,1911.01799,Which of the two speech recognition models works better overall on CN-Celeb?,x-vector,"I don't know. The provided context does not mention any specific speech recognition models being tested on CN-Celeb. It discusses the collection of the CN-Celeb dataset and the speaker recognition task, but does not provide information on the performance of specific models.","['1911.01799_0_1', '1911.01799_3_0', '1911.01799_0_0']","['Introduction', 'The CN-Celeb dataset ::: Collection pipeline', 'Introduction']",0.0,0.0,True,exp1_boundary,clean
6ca938324dc7e1742a840d0a54dc13cc207394a1,1903.09722,What dataset do they use?,German newscrawl distributed by WMT'18  English newscrawl data WMT'18 English-German (en-de) news translation task  WMT'18 English-Turkish (en-tr) news task,"They use the following datasets: 

1. WMT'18 English-German (en-de) news translation task
2. WMT'18 English-Turkish (en-tr) news task
3. Newstest2017 and newstest2018
4. A widely used dataset for abstractive text summarization (no specific name mentioned)","['1903.09722_7_0', '1903.09722_4_0', '1903.09722_5_0']","['Machine translation', 'Datasets', 'Language model pre-training']",0.05555555555555556,0.0,False,exp1_boundary,clean
f52ec4d68de91dba66668f0affc198706949ff90,1906.07668,What other interesting correlations are observed?,Women-Yoga,I don't know.,"['1906.07668_12_0', '1906.07668_9_0', '1906.07668_15_0']","['Visualization', 'Optimal number of Topics', 'Observation and Future Work']",0.0,0.0,True,exp1_boundary,clean
a4d115220438c0ded06a91ad62337061389a6747,1809.01202,What types of social media did they consider?,Facebook status update messages,I don't know.,"['1809.01202_0_0', '1809.01202_4_0', '1809.01202_1_1']","['Introduction', 'Model', 'Related Work']",0.0,0.0,True,exp1_boundary,clean
771b373d09e6eb50a74fffbf72d059ad44e73ab0,1912.01673,How do they introduce language variation?, we were looking for original and uncommon sentence change suggestions,"They introduce language variation by manually selecting 150 sentences from Czech data of Global Voices and OpenSubtitles, and then manually applying various sentence transformations to these sentences.","['1912.01673_1_0', '1912.01673_1_1', '1912.01673_5_0']","['Background', 'Background', 'Annotation ::: Second Round: Collecting Data ::: Seed Data']",0.0,0.0,False,exp1_boundary,clean
5260cb56b7d127772425583c5c28958c37cb9bea,1701.04056,How long of dialog history is captured?,two previous turns,The dialog history of 2 turns is captured.,"['1701.04056_11_0', '1701.04056_6_0', '1701.04056_0_0']","['Results and Analysis', 'Interactive Dialog Context LM', 'Introduction']",0.0,0.0,False,exp1_boundary,clean
005cca3c8ab6c3a166e315547a2259020f318ffb,2003.04642,How does proposed qualitative annotation schema looks like?,The resulting taxonomy of the framework is shown in Figure FIGREF10,"The proposed qualitative annotation schema is inspired by Wang2019 and adapted around lexical semantics and syntax. It includes features such as Redundancy, Lexical Entailment, Synonyms, Paraphrases, Abbreviations, Dative case, Voice, Genitive case, Nominalisation, Ellipsis, Restrictivity, Factivity, Coreference, and ambiguous syntactic features.","['2003.04642_7_0', '2003.04642_5_0', '2003.04642_13_0']","['Framework for MRC Gold Standard Analysis ::: Dimensions of Interest ::: Linguistic Complexity', 'Framework for MRC Gold Standard Analysis ::: Dimensions of Interest ::: Required Reasoning', 'Application of the Framework ::: Qualitative Analysis ::: Factual Correctness']",0.0,0.0,False,exp1_boundary,clean
b34c60eb4738e0439523bcc679fe0fe70ceb8bde,1907.10738,How is OpenBookQA different from other natural language QA?,in the OpenBookQA setup the open book part is much larger the open book part is much larger (than a small paragraph) and is not complete as additional common knowledge may be required,"OpenBookQA is different from other natural language QA in that it focuses on ""deeper understanding of the materials and its application to new situations"" rather than memorization, and it requires reasoning involving both facts from an open book and common knowledge.","['1907.10738_0_0', '1907.10738_7_0', '1907.10738_2_0']","['Introduction', 'Question Answering', 'Approach']",0.0,0.0,False,exp1_boundary,boundary_cut
56123dd42cf5c77fc9a88fc311ed2e1eb672126e,1911.09886,What is previous work authors reffer to?,SPTree Tagging CopyR HRL GraphR N-gram Attention,BIBREF9 and BIBREF10.,"['1911.09886_6_1', '1911.09886_7_1', '1911.09886_7_0']","['Encoder-Decoder Architecture ::: Relation Tuple Extraction', 'Encoder-Decoder Architecture ::: Attention Modeling', 'Encoder-Decoder Architecture ::: Attention Modeling']",0.0,0.0,False,exp1_boundary,boundary_cut
